7816 ms: -828,-906,-906,-718,-218,140,296,484,484,484,
897 ms: 421,437,406,453,578,578,609,625,671,656,
772 ms: 656,656,625,656,625,625,609,609,609,593,
1089 ms: 593,593,593,593,640,625,609,625,578,609,
987 ms: 609,578,593,609,593,593,593,546,546,562,
945 ms: 546,546,546,578,625,1062,1312,-265,-265,15,
1108 ms: 828,1453,1921,328,-328,-328,1031,1046,1484,1890,
1165 ms: -187,-187,-234,1187,1156,1359,1593,1593,62,62,
861 ms: 937,1000,1484,1484,1484,296,140,1156,1062,1531,
1027 ms: 1531,1609,843,62,1234,1312,1312,1562,1468,375,
1087 ms: 656,1046,1046,1203,1734,1203,-859,171,1265,1265,
1122 ms: 1156,1781,1046,-796,750,750,1109,1265,1875,937,
854 ms: -968,-968,625,1312,1421,1906,390,390,-593,1500,
920 ms: 1187,1468,1937,-140,-140,156,375,1093,1234,1078,
907 ms: 1078,578,562,734,1343,750,750,156,-484,-750,
