10227 ms: -890,-890,-859,-937,-781,-468,-78,234,234,390,
1115 ms: 515,640,703,796,796,828,828,781,796,656,
784 ms: 656,750,781,859,953,921,921,906,890,890,
1114 ms: 859,875,875,875,812,812,734,781,765,765,
990 ms: 703,765,796,765,765,765,765,750,750,718,
1079 ms: 718,718,765,734,734,750,687,750,750,750,
900 ms: 718,687,687,703,703,687,656,656,625,640,
1115 ms: 640,687,687,703,1859,703,-281,-281,375,968,
788 ms: 1468,1859,203,203,-171,781,1046,1578,1906,1906,
986 ms: -109,-171,1296,1000,1421,1421,1890,375,-734,1500,
1080 ms: 1046,1453,1453,1968,531,-484,1171,1109,1109,1531,
856 ms: 2015,-46,-218,1031,1031,1062,1484,1796,218,31,
1110 ms: 31,312,1156,1656,1687,468,140,140,750,1062,
1038 ms: 1093,1062,671,671,687,687,1203,953,828,828,
980 ms: 828,828,812,812,781,781,734,703,640,546,
1088 ms: 437,140,140,-203,-562,-781,-859,-843,-843,-890,
